text,problem
,N/A
sombong,sombong
"belakangan ini agen pemerintah melakukan boikot atas diriku untuk melakukan pendidikan hinggah merujuk kepada profesiku, saya tahu bukan pemerintah secara lansung. tapi apa yang saya lakukan adalah membalas dengan melakukan revolusi kepada pemerintah itu sendiri? karena saya merekalah yang bertanggung jawab atas semua hal.. apakah hal yang sudah saya lakukan itu langkah yang benar yang perlu saya ambil? coba jelaskan",N/A
"saya cukup bingung ketika aku mengejar apa yang ku inginkan dan yang aku tak bisa namun merujuk hal yang sederhana aku percaya aku bisa.. tapi entah mengapa, jalan yang aku ambil malah lebih jauh dan selih merugikan keimanan ku. Bisakah engaku berikan perwujudan dari cita cita ideal yang ku maksud tentang apa yang harus aku lakukan? dengan wujud yang sebenarnya",bingung
"saya cukup bingung ketika aku mengejar apa yang ku inginkan dan yang aku tak bisa namun merujuk hal yang sederhana aku percaya aku bisa.. tapi entah mengapa, jalan yang aku ambil malah lebih jauh dan selih merugikan keimanan ku. Bisakah engaku berikan perwujudan dari cita cita ideal yang ku maksud tentang apa yang harus aku lakukan? dengan wujud yang sebenarnya",bingung
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"sombong,angkuh, analitik, teliti, cergap, penuh kesabaran, gampang tergoda, suka marah, anarkis, narsistik",teliti
"sombong,angkuh, analitik, teliti, cergap, penuh kesabaran, gampang tergoda, suka marah, anarkis, narsistik",teliti
"Kepada Kekasih yang Pergi

Di sudut senja yang sepi,
Kutitipkan rindu pada angin,
Di antara serpihan kenangan,
Ada luka yang tak berkesudahan.

Kau pernah menjadi pelangi,
Menghias hari-hari dengan tawa,
Namun kini kau pergi tanpa pesan,
Meninggalkan jejak air mata.

Apa salahku hingga kau berpaling?
Meninggalkan hati ini hancur berkeping,
Tak ada lagi janji yang kau tepati,
Hanya sepi yang kini menemani.

Aku berdiri di bawah langit kelabu,
Meratapi cinta yang telah layu,
Sementara waktu terus berlalu,
Aku tetap di sini, menunggu.

Andai kau tahu betapa sakitnya,
Hati yang kau tinggalkan tanpa kata,
Namun aku takkan memaksa,
Karena cinta tak bisa dipaksa.

Biarlah kau pergi dengan bahagia,
Meski luka ini takkan sembuh segera,
Karena cinta sejati adalah memberi,
Meskipun harus merelakan kau pergi.",N/A
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
